Country,Type,Year,AverageTemperature,TemperatureDifference,AverageTemperatureUncertainty,BaseTemperature
Zimbabwe,C,2012,21.521333333333335,0.6951,0.5385,20.826233333333334
Zimbabwe,C,1954,21.175583333333332,0.3493499999999976,0.22999999999999998,20.826233333333334
Zimbabwe,C,1945,20.699666666666662,-0.1265666666666725,0.2734166666666667,20.826233333333334
Zimbabwe,C,1946,21.236583333333332,0.41034999999999755,0.24575,20.826233333333334
Zimbabwe,C,1947,21.582000000000004,0.7557666666666698,0.23650000000000002,20.826233333333334
Zimbabwe,C,1948,21.1105,0.2842666666666638,0.22558333333333333,20.826233333333334
Zimbabwe,C,1949,21.535083333333336,0.7088500000000018,0.2325,20.826233333333334
Zimbabwe,C,1950,21.258416666666665,0.4321833333333309,0.2990833333333333,20.826233333333334
Zimbabwe,C,1951,21.10233333333333,0.276099999999996,0.3064166666666666,20.826233333333334
Zimbabwe,C,1952,21.325499999999995,0.4992666666666601,0.24950000000000003,20.826233333333334
Zimbabwe,C,1953,20.75741666666666,-0.06881666666667385,0.1984166666666666,20.826233333333334
Zimbabwe,C,1955,20.913500000000003,0.08726666666666816,0.24991666666666668,20.826233333333334
Zimbabwe,C,1966,21.4145,0.5882666666666658,0.2454166666666667,20.826233333333334
Zimbabwe,C,1956,20.89425,0.06801666666666506,0.2780833333333333,20.826233333333334
Zimbabwe,C,1957,21.821250000000003,0.9950166666666682,0.43216666666666664,20.826233333333334
Zimbabwe,C,1958,21.2745,0.44826666666666526,0.32641666666666663,20.826233333333334
Zimbabwe,C,1959,21.47,0.6437666666666644,0.26925,20.826233333333334
Zimbabwe,C,1960,21.178583333333336,0.3523500000000013,0.25666666666666665,20.826233333333334
Zimbabwe,C,1961,21.4085,0.5822666666666656,0.23108333333333334,20.826233333333334
Zimbabwe,C,1962,21.43258333333333,0.6063499999999955,0.33275,20.826233333333334
Zimbabwe,C,1963,20.7565,-0.06973333333333542,0.21433333333333338,20.826233333333334
Zimbabwe,C,1964,21.080583333333333,0.25434999999999874,0.2543333333333333,20.826233333333334
Zimbabwe,C,1943,21.104333333333333,0.27809999999999846,0.229,20.826233333333334
Zimbabwe,C,1942,21.60875,0.7825166666666661,0.25933333333333336,20.826233333333334
Zimbabwe,C,1941,21.608083333333337,0.7818500000000022,0.30825,20.826233333333334
Zimbabwe,C,1940,21.168000000000003,0.34176666666666833,0.3686666666666667,20.826233333333334
Zimbabwe,C,1921,20.767916666666665,-0.0583166666666699,0.4005833333333333,20.826233333333334
Zimbabwe,C,1922,21.632333333333335,0.8061000000000007,0.5331666666666667,20.826233333333334
Zimbabwe,C,1923,21.250833333333336,0.42460000000000164,0.38058333333333333,20.826233333333334
Zimbabwe,C,1924,20.943916666666667,0.11768333333333203,0.37274999999999997,20.826233333333334
Zimbabwe,C,1925,20.732833333333332,-0.09340000000000259,0.3814166666666667,20.826233333333334
Zimbabwe,C,1926,21.074499999999997,0.24826666666666242,0.437,20.826233333333334
